"FSC","SSC","CD16 AF488","FL2-A","CD14-PE","CD42a-PerCP","CCR2-APC"
783,673,352.269,0,1.76236,77.0404,1.09411
760,737,604.318,0,2.714,5.28046,4.7402
755,629,437.175,0,2.6657,1.1653,10.4607
40,647,1333.66,856,3078.42,5523.74,9910.46
741,684,355.502,0,3.39869,6.26522,20.911
40,624,1252.37,790,2839.24,4958.94,9910.46
869,328,6437.03,0,36.1981,1197.34,2288.06
833,774,661.332,0,3.96062,1.00025,14.993
906,814,487.105,0,9.64934,1.27524,10.5575
833,895,750.132,0,1.00032,1.00032,17.0062
898,939,784.665,0,1.00035,5.57503,13.2205
38,701,1408.01,899,3192.09,5575.22,9910.46
795,858,850.886,0,7.50212,2.11058,19.1176
845,589,43.3429,0,10.8481,4.61596,1.14497
821,702,478.522,0,1.00049,5.09619,22.6821
923,977,313.562,0,5.28307,8.50976,15.8288
902,1023,542.775,0,3.55653,1.00056,20.1805
870,804,562.679,0,1.89498,6.21197,21.8829
815,1023,47.859,0,16.2635,25.4992,9.73996
820,584,704.608,0,1.00067,3.33986,7.50397
42,566,1219.67,770,2740.35,4829.48,9910.46
39,442,1114.8,762,2667.49,4917.31,9910.46
750,598,368.76,0,4.03465,1.00078,13.3456
797,850,704.707,0,2.79039,7.04707,18.1203
881,860,509.799,0,3.22241,2.74074,22.4869
812,692,667.731,0,1.02826,1.00088,9.23053
854,218,14.3433,0,22.0876,167.13,14.7356
748,223,16.7136,486,1779.97,6.55873,322.275
926,901,730.651,0,1.44739,1.00099,18.9571
837,966,483.101,0,3.55816,4.22128,12.5343
496,100,9.74408,0,7.92314,4.45551,12.9939
895,164,10.0109,0,7.64341,2.4389,151.413
433,95,8.51486,0,10.7582,1.35926,16.5669
797,687,627.163,0,1.00116,1.00116,22.9024
886,993,509.979,0,3.79006,7.78298,30.5419
777,699,632.874,0,3.85899,2.35304,24.3924
872,742,568.143,0,5.48066,1.00127,25.2869
476,76,5.63076,0,11.9865,3.02716,6.98742
728,399,17.6472,470,1733.26,1.34737,89.8891
902,935,462.019,0,1.52824,1.50099,30.8233
750,616,553.096,0,1.46108,1.38432,18.627
941,892,698.84,0,1.84609,4.53814,12.8826
895,793,519.382,0,1.11563,10.1966,16.5727
921,913,528.828,0,1.00152,4.87707,19.4859
817,607,433.903,0,3.49657,1.57031,16.8747
865,965,616.243,0,3.4967,4.14836,12.5414
41,581,1231.82,777,2767.65,4877.58,9910.46
517,109,10.3835,0,9.9269,52.8903,21.7099
756,664,680.403,0,1.00169,1.00169,33.7349
736,665,538.542,0,1.00173,1.36008,21.9076
708,558,487.827,0,1.00176,4.87827,5.10266
356,168,15.1519,0,13.0036,426.272,12.544
732,611,470.621,0,3.59322,127.722,10.2924
42,512,1348.09,621,3028.87,5337.95,9910.46
872,253,189.745,390,1488.34,2.27141,74.4596
838,680,449.972,0,5.10356,4.14982,11.1614
451,94,7.11902,0,12.5462,1.00198,53.3851
835,887,668.485,0,1.73442,2.15231,18.4713
777,686,674.548,0,6.22095,1.67319,11.5715
758,681,529.127,0,4.03991,1.09639,10.2949
697,571,426.408,0,6.93047,7.93152,16.5832
765,838,837.161,0,1.00215,1.13664,20.3952
773,1023,155.724,0,23.7656,52.4444,18.4746
811,923,605.64,0,4.38116,1.71925,18.3098
890,809,600.238,0,2.21172,9.66841,6.33521
848,902,466.621,0,3.72656,117.844,11.6789
1023,822,534.039,0,1.00233,4.26498,16.8878
1023,1023,524.537,0,5.1984,4.50163,20.0358
373,86,4.88136,0,6.22314,57.9108,8.00543
898,849,584.361,34,16.7383,10.2985,1020.63
470,125,6.80931,0,6.93291,3.05806,7.25181
917,1007,470.936,0,5.0154,4.75191,12.6663
566,114,55.3719,0,15.0274,2.00393,15.4384
941,1023,1221.95,0,10.7738,2.11513,21.3424
820,689,411.542,0,3.37658,2.19269,12.7821
829,772,366.141,0,6.1137,6.93413,15.1648
691,702,699.702,0,2.77057,1.00268,26.0151
48,539,1313.31,836,3004.29,5342.46,9910.46
900,846,751.959,0,4.116,1.00275,16.5937
554,136,89.213,0,6.51192,1.04892,8.76225
905,906,446.336,0,2.27349,6.51215,20.2261
760,622,539.149,0,1.07768,5.84608,14.8975
473,107,8.22844,0,7.12554,7.52064,11.898
789,292,205.954,272,1049.06,6.39673,44.6383
709,229,15.0337,480,1767.58,1.00296,308.721
907,793,383.118,0,1.05862,6.63152,14.7662
784,659,356.531,0,8.30395,4.08029,17.5188
844,779,590.015,0,6.06152,1.00307,9.00443
811,783,501.84,0,2.57931,2.64985,14.7678
42,476,1290.44,805,2873.38,5155.84,9910.46
910,1023,369.644,0,13.6204,1.00318,13.7435
855,896,534.509,0,6.34123,7.38891,16.7513
897,686,492.963,0,3.9725,4.30745,26.265
524,90,8.61027,0,9.16982,7.66012,1.16904
959,899,373.036,0,5.06481,2.97917,31.7277
812,930,446.572,0,7.87018,1.86632,26.5051
841,603,725.845,0,1.00339,3.17299,13.8706
838,786,393.762,0,3.06097,2.33707,13.5018
738,487,515.747,0,3.08874,1.00346,7.80054
914,860,590.264,0,2.04225,1.00349,16.3099
763,668,525.146,0,25.3439,1.17989,15.0422
39,678,1314.42,834,2979.9,5251.64,9910.46
902,830,484.344,0,5.11201,9.94614,19.3516
890,990,687.881,0,1.00364,6.51742,32.0245
777,754,383.374,0,1.58785,1.24549,28.749
853,695,475.76,0,7.59474,1.07859,28.2374
40,500,1387.54,895,3231.72,5543.82,9910.46
810,625,442.76,0,1.97063,6.94194,2.55792
